Month,Export Loaded TEUs,Import Loaded TEUs,Export Empty TEUs,Import Empty TEUs,Total TEUs,Total Loaded TEUs,Total Empty TEUs,Port,Total Rail Lifts,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons,Month,Origin BEA Area,Total Weight in Tons,year
Jan 2009,54809,55634,21532,6019,137994,110443,27551,Virginia,,,,,,,,,,,,,,,1.0,"Charleston-North Charleston, SC",2482.0,2019.0
Jan 2010,64664,51330,10705,17398,144097,115994,28103,Virginia,,,,,,,,,,,,,,,1.0,Everglades (Part of Fort Lauderdale/Miami),120.0,2019.0
Jan 2011,71433,64939,11648,11245,159265,136372,22893,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles, CA",142194.0,2019.0
Jan 2012,69867,62271,13559,8603,154300,132138,22162,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles-Riverside-Orange County, CA-AZ",129701.0,2019.0
Jan 2013,72685,62405,12172,11504,158766,135090,23676,Virginia,,,,,,,,,,,,,,,1.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",80099.0,2019.0
Jan 2014,78065,69836,12732,6639,167272,147901,19371,Virginia,,,,,,,,,,,,,,,1.0,"Norfolk-Virginia Beach-Newport News, VA-NC",5157.0,2019.0
Jan 2015,83349,79733,23108,5806,191996,163082,28914,Virginia,,,,,,,,,,,,,,,1.0,"Portland-Salem, OR-WA",15233.0,2019.0
Jan 2016,76360,84186,26786,5513,192844,160546,32299,Virginia,,,,,,,,,,,,,,,1.0,San Antonio (Part of Long Beach/LA),435296.0,2019.0
Jan 2017,89767,101302,31466,5983,228516,191069,37449,Virginia,,,,,,,,,,,,,,,1.0,"San Francisco-Oakland-San Jose, CA",13739.0,2019.0
Jan 2018,76294,104150,37883,2208,220534,180444,40091,Virginia,,,,,,,,,,,,,,,1.0,"Savannah, GA-SC",6726.0,2019.0
Jan 2019,77948,109757,50538,1868,240111,187705,52406,Virginia,,,,,,,,,,,,,,,1.0,"Washington-Baltimore, DC-MD-VA-WV-PA",21352.0,2019.0
Jan 2020,79328,108884,36656,2366,227234,188212,39022,Virginia,,,,,,,,,,,,,,,2.0,"Charleston-North Charleston, SC",2362.0,2019.0
Jan 2021,84688,130777,54730,774,270969,215465,55504,Virginia,,,,,,,,,,,,,,,2.0,Everglades (Part of Fort Lauderdale/Miami),20.0,2019.0
Jan 2022,69589,127597,61715,3119,262020,197186,64834,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles, CA",121854.0,2019.0
Feb 2009,58763,55223,11786,7587,133359,113986,19373,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles-Riverside-Orange County, CA-AZ",128427.0,2019.0
Feb 2010,72858,60737,9442,12012,155049,133595,21454,Virginia,,,,,,,,,,,,,,,2.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",51070.0,2019.0
Feb 2011,67183,61659,14368,10436,153646,128842,24804,Virginia,,,,,,,,,,,,,,,2.0,"Norfolk-Virginia Beach-Newport News, VA-NC",5426.0,2019.0
Feb 2012,75708,62752,9976,8614,157050,138460,18590,Virginia,,,,,,,,,,,,,,,2.0,"Portland-Salem, OR-WA",14232.0,2019.0
Feb 2013,79139,68595,12404,9253,169391,147734,21657,Virginia,,,,,,,,,,,,,,,2.0,San Antonio (Part of Long Beach/LA),395318.0,2019.0
Feb 2014,81436,77647,13726,6716,179524,159083,20442,Virginia,,,,,,,,,,,,,,,2.0,"San Francisco-Oakland-San Jose, CA",13084.0,2019.0
Feb 2015,76150,76846,17264,7846,178105,152996,25110,Virginia,,,,,,,,,,,,,,,2.0,"Savannah, GA-SC",3683.0,2019.0
Feb 2016,82065,99883,35021,3758,220726,181948,38779,Virginia,,,,,,,,,,,,,,,2.0,"Washington-Baltimore, DC-MD-VA-WV-PA",15472.0,2019.0
Feb 2017,85827,96921,30437,7191,220376,182748,37628,Virginia,,,,,,,,,,,,,,,3.0,"Charleston-North Charleston, SC",1633.0,2019.0
Feb 2018,82104,100368,34156,2099,218727,182472,36255,Virginia,,,,,,,,,,,,,,,3.0,Everglades (Part of Fort Lauderdale/Miami),80.0,2019.0
Feb 2019,76642,105357,44038,2115,228151,181999,46153,Virginia,,,,,,,,,,,,,,,3.0,"Los Angeles, CA",184834.0,2019.0
Feb 2020,80834,97559,27918,1505,207816,178393,29423,Virginia,,,,,,,,,,,,,,,3.0,"Los Angeles-Riverside-Orange County, CA-AZ",104029.0,2019.0
Feb 2021,87466,110274,48494,2292,248526,197740,50786,Virginia,,,,,,,,,,,,,,,3.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",59514.0,2019.0
Feb 2022,88582,143476,58881,5263,296201,232058,64144,Virginia,,,,,,,,,,,,,,,3.0,"Norfolk-Virginia Beach-Newport News, VA-NC",6057.0,2019.0
Mar 2009,64383,53377,9678,9298,136736,117760,18976,Virginia,,,,,,,,,,,,,,,3.0,"Portland-Salem, OR-WA",15344.0,2019.0
Mar 2010,77834,63306,9582,16540,167262,141140,26122,Virginia,,,,,,,,,,,,,,,3.0,San Antonio (Part of Long Beach/LA),505092.0,2019.0
Mar 2011,76702,60140,13509,9404,159754,136842,22913,Virginia,,,,,,,,,,,,,,,3.0,"San Francisco-Oakland-San Jose, CA",17533.0,2019.0
Mar 2012,79521,68117,10840,8241,166719,147638,19081,Virginia,,,,,,,,,,,,,,,3.0,"Savannah, GA-SC",5089.0,2019.0
Mar 2013,87649,70954,11722,9193,179518,158603,20915,Virginia,,,,,,,,,,,,,,,3.0,"Washington-Baltimore, DC-MD-VA-WV-PA",21628.0,2019.0
Mar 2014,93016,80520,14423,9875,197834,173536,24298,Virginia,,,,,,,,,,,,,,,4.0,"Charleston-North Charleston, SC",2022.0,2019.0
Mar 2015,96565,105719,17134,9992,229410,202284,27126,Virginia,,,,,,,,,,,,,,,4.0,Everglades (Part of Fort Lauderdale/Miami),100.0,2019.0
Mar 2016,89455,91059,28673,4000,213186,180514,32673,Virginia,,,,,,,,,,,,,,,4.0,"Los Angeles, CA",191202.0,2019.0
Mar 2017,92384,99665,32488,7612,232148,192049,40100,Virginia,,,,,,,,,,,,,,,4.0,"Los Angeles-Riverside-Orange County, CA-AZ",136933.0,2019.0
Mar 2018,98648,113123,38152,2308,252230,211771,40460,Virginia,,,,,,,,,,,,,,,4.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",75725.0,2019.0
Mar 2019,89282,107040,41712,2002,240035,196322,43714,Virginia,,,,,,,,,,,,,,,4.0,"Norfolk-Virginia Beach-Newport News, VA-NC",5792.0,2019.0
Mar 2020,90761,99129,26347,3078,219315,189890,29425,Virginia,,,,,,,,,,,,,,,4.0,"Portland-Salem, OR-WA",14283.0,2019.0
Mar 2021,94846,130066,51092,3510,279514,224912,54602,Virginia,,,,,,,,,,,,,,,4.0,San Antonio (Part of Long Beach/LA),548901.0,2019.0
Mar 2022,95803,148932,66771,3192,314698,244735,69963,Virginia,,,,,,,,,,,,,,,4.0,"San Francisco-Oakland-San Jose, CA",18692.0,2019.0
Apr 2009,65024,54487,9799,14764,144074,119511,24563,Virginia,,,,,,,,,,,,,,,4.0,"Savannah, GA-SC",4878.0,2019.0
Apr 2010,69329,56636,10398,10756,147119,125965,21154,Virginia,,,,,,,,,,,,,,,4.0,"Washington-Baltimore, DC-MD-VA-WV-PA",42300.0,2019.0
Apr 2011,73538,64573,12182,10961,161254,138111,23143,Virginia,,,,,,,,,,,,,,,5.0,"Charleston-North Charleston, SC",2828.0,2019.0
Apr 2012,75193,68954,15513,9984,169644,144147,25497,Virginia,,,,,,,,,,,,,,,5.0,Everglades (Part of Fort Lauderdale/Miami),180.0,2019.0
Apr 2013,83128,74001,13133,9108,179370,157129,22241,Virginia,,,,,,,,,,,,,,,5.0,"Los Angeles, CA",201967.0,2019.0
Apr 2014,91701,87113,16490,6087,201390,178814,22577,Virginia,,,,,,,,,,,,,,,5.0,"Los Angeles-Riverside-Orange County, CA-AZ",130780.0,2019.0
Apr 2015,92568,87124,23100,7385,210177,179692,30485,Virginia,,,,,,,,,,,,,,,5.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",83168.0,2019.0
Apr 2016,82323,92429,35978,4525,215254,174752,40503,Virginia,,,,,,,,,,,,,,,5.0,"Norfolk-Virginia Beach-Newport News, VA-NC",6120.0,2019.0
Apr 2017,85623,101114,34927,3532,225196,186737,38459,Virginia,,,,,,,,,,,,,,,5.0,"Portland-Salem, OR-WA",18484.0,2019.0
Apr 2018,86251,97607,33311,2112,219281,183858,35423,Virginia,,,,,,,,,,,,,,,5.0,San Antonio (Part of Long Beach/LA),469029.0,2019.0
Apr 2019,85378,119266,38580,2710,245933,204644,41290,Virginia,,,,,,,,,,,,,,,5.0,"San Francisco-Oakland-San Jose, CA",15685.0,2019.0
Apr 2020,71158,100310,32605,3171,207244,171468,35776,Virginia,,,,,,,,,,,,,,,5.0,"Savannah, GA-SC",5573.0,2019.0
Apr 2021,95618,137954,50909,1924,286405,233572,52833,Virginia,,,,,,,,,,,,,,,5.0,"Washington-Baltimore, DC-MD-VA-WV-PA",17236.0,2019.0
Apr 2022,99589,142639,78724,2292,323244,242228,81016,Virginia,,,,,,,,,,,,,,,6.0,"Charleston-North Charleston, SC",1567.0,2019.0
May 2009,64106,54293,9867,13171,141437,118399,23038,Virginia,,,,,,,,,,,,,,,6.0,Everglades (Part of Fort Lauderdale/Miami),20.0,2019.0
May 2010,72525,65445,14605,8961,161536,137970,23566,Virginia,,,,,,,,,,,,,,,6.0,"Los Angeles, CA",128984.0,2019.0
May 2011,71395,62843,12886,11415,158539,134238,24301,Virginia,,,,,,,,,,,,,,,6.0,"Los Angeles-Riverside-Orange County, CA-AZ",122804.0,2019.0
May 2012,83206,72084,14763,8531,178584,155290,23294,Virginia,,,,,,,,,,,,,,,6.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",79300.0,2019.0
May 2013,84841,77915,18377,10236,191368,162756,28613,Virginia,,,,,,,,,,,,,,,6.0,"Norfolk-Virginia Beach-Newport News, VA-NC",7237.0,2019.0
May 2014,91686,84855,20495,7197,204232,176541,27692,Virginia,,,,,,,,,,,,,,,6.0,"Portland-Salem, OR-WA",12176.0,2019.0
May 2015,91802,94615,35742,8352,230511,186417,44094,Virginia,,,,,,,,,,,,,,,6.0,San Antonio (Part of Long Beach/LA),419869.0,2019.0
May 2016,80729,92439,39819,6412,219398,173168,46231,Virginia,,,,,,,,,,,,,,,6.0,"San Francisco-Oakland-San Jose, CA",14696.0,2019.0
May 2017,85824,100594,56016,4438,246871,186418,60454,Virginia,,,,,,,,,,,,,,,6.0,"Savannah, GA-SC",5113.0,2019.0
May 2018,85157,108592,40552,2589,236891,193749,43141,Virginia,,,,,,,,,,,,,,,6.0,"Washington-Baltimore, DC-MD-VA-WV-PA",41338.0,2019.0
May 2019,88065,119592,51173,2064,260894,207657,53237,Virginia,,,,,,,,,,,,,,,7.0,"Charleston-North Charleston, SC",2452.0,2019.0
May 2020,72160,87669,39940,2068,201837,159829,42008,Virginia,,,,,,,,,,,,,,,7.0,Everglades (Part of Fort Lauderdale/Miami),0.0,2019.0
May 2021,99717,144916,67970,2338,314942,244633,70308,Virginia,,,,,,,,,,,,,,,7.0,"Los Angeles, CA",218042.0,2019.0
May 2022,97705,168023,71083,4800,341611,265728,75883,Virginia,,,,,,,,,,,,,,,7.0,"Los Angeles-Riverside-Orange County, CA-AZ",118705.0,2019.0
Jun 2009,65992,54490,9871,8099,138452,120482,17970,Virginia,,,,,,,,,,,,,,,7.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",88739.0,2019.0
Jun 2010,68316,67022,16800,8563,160701,135338,25363,Virginia,,,,,,,,,,,,,,,7.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4818.0,2019.0
Jun 2011,69526,60049,13285,8591,151449,129575,21876,Virginia,,,,,,,,,,,,,,,7.0,"Portland-Salem, OR-WA",14229.0,2019.0
Jun 2012,75581,71130,14054,7665,168430,146711,21719,Virginia,,,,,,,,,,,,,,,7.0,San Antonio (Part of Long Beach/LA),570640.0,2019.0
Jun 2013,76399,72839,16621,10005,175864,149238,26626,Virginia,,,,,,,,,,,,,,,7.0,"San Francisco-Oakland-San Jose, CA",18736.0,2019.0
Jun 2014,81781,77135,23124,4364,186403,158916,27488,Virginia,,,,,,,,,,,,,,,7.0,"Savannah, GA-SC",5085.0,2019.0
Jun 2015,81363,87173,38627,6355,213517,168536,44982,Virginia,,,,,,,,,,,,,,,7.0,"Washington-Baltimore, DC-MD-VA-WV-PA",56709.0,2019.0
Jun 2016,81810,93630,35633,5600,216672,175440,41233,Virginia,,,,,,,,,,,,,,,8.0,"Charleston-North Charleston, SC",2211.0,2019.0
Jun 2017,81534,103006,44037,3098,231675,184540,47135,Virginia,,,,,,,,,,,,,,,8.0,Everglades (Part of Fort Lauderdale/Miami),60.0,2019.0
Jun 2018,80596,105955,35615,1674,223840,186551,37289,Virginia,,,,,,,,,,,,,,,8.0,"Los Angeles, CA",203105.0,2019.0
Jun 2019,76535,112664,48622,1508,239329,189199,50130,Virginia,,,,,,,,,,,,,,,8.0,"Los Angeles-Riverside-Orange County, CA-AZ",104717.0,2019.0
Jun 2020,71591,95502,41841,1735,210669,167093,43576,Virginia,,,,,,,,,,,,,,,8.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",77291.0,2019.0
Jun 2021,78853,138737,61369,2387,281346,217590,63756,Virginia,,,,,,,,,,,,,,,8.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4651.0,2019.0
Jun 2022,86098,151380,73626,5146,316250,237478,78772,Virginia,,,,,,,,,,,,,,,8.0,"Portland-Salem, OR-WA",16517.0,2019.0
Jul 2009,65423,58313,9360,9074,142170,123736,18434,Virginia,,,,,,,,,,,,,,,8.0,San Antonio (Part of Long Beach/LA),513293.0,2019.0
Jul 2010,61111,65771,20056,7007,153945,126882,27063,Virginia,,,,,,,,,,,,,,,8.0,"San Francisco-Oakland-San Jose, CA",16104.0,2019.0
Jul 2011,71247,68534,15686,11609,167076,139781,27295,Virginia,,,,,,,,,,,,,,,8.0,"Savannah, GA-SC",5292.0,2019.0
Jul 2012,73709,78709,20690,7276,180384,152418,27966,Virginia,,,,,,,,,,,,,,,8.0,"Washington-Baltimore, DC-MD-VA-WV-PA",46928.0,2019.0
Jul 2013,88399,89411,17965,9364,205137,177810,27329,Virginia,,,,,,,,,,,,,,,9.0,"Charleston-North Charleston, SC",2191.0,2019.0
Jul 2014,82534,95080,23502,6655,207771,177614,30157,Virginia,,,,,,,,,,,,,,,9.0,Everglades (Part of Fort Lauderdale/Miami),0.0,2019.0
Jul 2015,83438,96919,39247,6386,225988,180357,45633,Virginia,,,,,,,,,,,,,,,9.0,"Los Angeles, CA",208647.0,2019.0
Jul 2016,77174,100106,37541,3089,217910,177280,40630,Virginia,,,,,,,,,,,,,,,9.0,"Los Angeles-Riverside-Orange County, CA-AZ",117722.0,2019.0
Jul 2017,75703,109215,46855,2457,234230,184918,49312,Virginia,,,,,,,,,,,,,,,9.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",76008.0,2019.0
Jul 2018,82853,120132,48182,1512,252679,202985,49694,Virginia,,,,,,,,,,,,,,,9.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4240.0,2019.0
Jul 2019,80955,125260,56696,2649,265559,206215,59345,Virginia,,,,,,,,,,,,,,,9.0,"Portland-Salem, OR-WA",13977.0,2019.0
Jul 2020,68594,105692,45384,1359,221028,174286,46743,Virginia,,,,,,,,,,,,,,,9.0,San Antonio (Part of Long Beach/LA),382288.0,2019.0
Jul 2021,81068,142963,66842,2254,293126,224031,69096,Virginia,,,,,,,,,,,,,,,9.0,"San Francisco-Oakland-San Jose, CA",18663.0,2019.0
Jul 2022,85170,149829,78365,4328,317691,234999,82693,Virginia,,,,,,,,,,,,,,,9.0,"Savannah, GA-SC",4126.0,2019.0
Aug 2009,68823,60431,11700,10051,151005,129254,21751,Virginia,,,,,,,,,,,,,,,9.0,"Washington-Baltimore, DC-MD-VA-WV-PA",36660.0,2019.0
Aug 2010,68069,72959,24547,9547,175122,141028,34094,Virginia,,,,,,,,,,,,,,,10.0,"Charleston-North Charleston, SC",2416.0,2019.0
Aug 2011,66532,62960,15387,7096,151975,129492,22483,Virginia,,,,,,,,,,,,,,,10.0,Everglades (Part of Fort Lauderdale/Miami),100.0,2019.0
Aug 2012,78029,81770,20761,8098,188658,159799,28859,Virginia,,,,,,,,,,,,,,,10.0,"Los Angeles, CA",224573.0,2019.0
Aug 2013,83210,90565,17372,7182,198329,173775,24554,Virginia,,,,,,,,,,,,,,,10.0,"Los Angeles-Riverside-Orange County, CA-AZ",133890.0,2019.0
Aug 2014,85852,89698,34269,4536,214355,175550,38805,Virginia,,,,,,,,,,,,,,,10.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",64017.0,2019.0
Aug 2015,77388,93044,43513,6124,220069,170432,49637,Virginia,,,,,,,,,,,,,,,10.0,"Norfolk-Virginia Beach-Newport News, VA-NC",5059.0,2019.0
Aug 2016,84431,107268,40049,3763,235511,191699,43812,Virginia,,,,,,,,,,,,,,,10.0,"Portland-Salem, OR-WA",14060.0,2019.0
Aug 2017,75430,113188,50064,1923,240605,188618,51987,Virginia,,,,,,,,,,,,,,,10.0,San Antonio (Part of Long Beach/LA),450718.0,2019.0
Aug 2018,83512,117042,56727,1540,258821,200554,58267,Virginia,,,,,,,,,,,,,,,10.0,"San Francisco-Oakland-San Jose, CA",16440.0,2019.0
Aug 2019,80655,121542,54405,1073,257675,202197,55478,Virginia,,,,,,,,,,,,,,,10.0,"Savannah, GA-SC",4655.0,2019.0
Aug 2020,75325,120914,50160,950,247349,196239,51110,Virginia,,,,,,,,,,,,,,,10.0,"Washington-Baltimore, DC-MD-VA-WV-PA",40650.0,2019.0
Aug 2021,85256,144226,75925,1616,307023,229482,77541,Virginia,,,,,,,,,,,,,,,11.0,"Charleston-North Charleston, SC",1501.0,2019.0
Aug 2022,95745,160673,80410,4097,340926,256418,84507,Virginia,,,,,,,,,,,,,,,11.0,Everglades (Part of Fort Lauderdale/Miami),100.0,2019.0
Sep 2009,70008,63706,13262,10467,157443,133714,23729,Virginia,,,,,,,,,,,,,,,11.0,"Los Angeles, CA",171707.0,2019.0
Sep 2010,60866,65747,21075,5318,153006,126613,26393,Virginia,,,,,,,,,,,,,,,11.0,"Los Angeles-Riverside-Orange County, CA-AZ",137279.0,2019.0
Sep 2011,68437,67022,18860,9731,164050,135459,28591,Virginia,,,,,,,,,,,,,,,11.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",93497.0,2019.0
Sep 2012,78224,76750,20493,6851,182318,154974,27344,Virginia,,,,,,,,,,,,,,,11.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4142.0,2019.0
Sep 2013,80570,80029,17217,7369,185185,160599,24586,Virginia,,,,,,,,,,,,,,,11.0,"Portland-Salem, OR-WA",15003.0,2019.0
Sep 2014,77346,87040,32522,4207,201113,164386,36729,Virginia,,,,,,,,,,,,,,,11.0,San Antonio (Part of Long Beach/LA),448669.0,2019.0
Sep 2015,76254,92722,42798,3747,215520,168976,46545,Virginia,,,,,,,,,,,,,,,11.0,"San Francisco-Oakland-San Jose, CA",13829.0,2019.0
Sep 2016,81902,100229,35028,2699,219857,182131,37727,Virginia,,,,,,,,,,,,,,,11.0,"Savannah, GA-SC",4048.0,2019.0
Sep 2017,76794,109716,49844,1461,237816,186510,51305,Virginia,,,,,,,,,,,,,,,11.0,"Washington-Baltimore, DC-MD-VA-WV-PA",26967.0,2019.0
Sep 2018,65588,108981,44970,1816,221355,174569,46786,Virginia,,,,,,,,,,,,,,,12.0,"Charleston-North Charleston, SC",2818.0,2019.0
Sep 2019,71561,114643,52766,2447,241416,186204,55213,Virginia,,,,,,,,,,,,,,,12.0,Everglades (Part of Fort Lauderdale/Miami),0.0,2019.0
Sep 2020,75526,121115,57704,2094,256439,196641,59798,Virginia,,,,,,,,,,,,,,,12.0,"Los Angeles, CA",209539.0,2019.0
Sep 2021,80697,152197,70928,2395,306216,232894,73323,Virginia,,,,,,,,,,,,,,,12.0,"Los Angeles-Riverside-Orange County, CA-AZ",120797.0,2019.0
Oct 2009,70232,63222,10762,15566,159782,133454,26328,Virginia,,,,,,,,,,,,,,,12.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",49576.0,2019.0
Oct 2010,73317,75750,16932,9519,175518,149067,26451,Virginia,,,,,,,,,,,,,,,12.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4776.0,2019.0
Oct 2011,73367,71695,17720,9995,172776,145062,27715,Virginia,,,,,,,,,,,,,,,12.0,"Portland-Salem, OR-WA",14468.0,2019.0
Oct 2012,73756,72946,22334,6294,175330,146702,28628,Virginia,,,,,,,,,,,,,,,12.0,San Antonio (Part of Long Beach/LA),396824.0,2019.0
Oct 2013,90190,92093,17440,6875,206597,182283,24315,Virginia,,,,,,,,,,,,,,,12.0,"San Francisco-Oakland-San Jose, CA",13425.0,2019.0
Oct 2014,86909,98066,30848,5283,221105,184975,36131,Virginia,,,,,,,,,,,,,,,12.0,"Savannah, GA-SC",4771.0,2019.0
Oct 2015,78780,100230,50516,3940,233466,179010,54456,Virginia,,,,,,,,,,,,,,,12.0,"Washington-Baltimore, DC-MD-VA-WV-PA",11040.0,2019.0
Oct 2016,88796,114093,32712,2966,238567,202889,35678,Virginia,,,,,,,,,,,,,,,1.0,"Charleston-North Charleston, SC",421.0,2020.0
Oct 2017,87750,125075,51183,1482,265490,212825,52665,Virginia,,,,,,,,,,,,,,,1.0,Everglades (Part of Fort Lauderdale/Miami),34729.0,2020.0
Oct 2018,83577,127677,58616,669,270538,211254,59285,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles, CA",180285.0,2020.0
Oct 2019,83557,124142,57427,1850,266976,207699,59277,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles-Riverside-Orange County, CA-AZ",118806.0,2020.0
Oct 2020,83705,131770,57644,1096,274215,215475,58740,Virginia,,,,,,,,,,,,,,,1.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",53514.0,2020.0
Oct 2021,88710,148212,79085,2475,318482,236922,81560,Virginia,,,,,,,,,,,,,,,1.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4529.0,2020.0
Nov 2009,73163,59463,10634,11317,154577,132626,21951,Virginia,,,,,,,,,,,,,,,1.0,"Portland-Salem, OR-WA",15926.0,2020.0
Nov 2010,72511,67159,14190,9351,163211,139670,23541,Virginia,,,,,,,,,,,,,,,1.0,San Antonio (Part of Long Beach/LA),508689.0,2020.0
Nov 2011,71594,66387,17757,8207,163945,137981,25964,Virginia,,,,,,,,,,,,,,,1.0,"San Francisco-Oakland-San Jose, CA",15235.0,2020.0
Nov 2012,86419,85116,18065,9119,198720,171535,27184,Virginia,,,,,,,,,,,,,,,1.0,"Savannah, GA-SC",3894.0,2020.0
Nov 2013,89169,79329,17711,6710,192918,168498,24421,Virginia,,,,,,,,,,,,,,,1.0,"Washington-Baltimore, DC-MD-VA-WV-PA",20642.0,2020.0
Nov 2014,93442,84586,23212,7524,208764,178028,30736,Virginia,,,,,,,,,,,,,,,2.0,"Charleston-North Charleston, SC",626.0,2020.0
Nov 2015,81039,85371,32210,4852,203472,166410,37062,Virginia,,,,,,,,,,,,,,,2.0,Everglades (Part of Fort Lauderdale/Miami),18679.0,2020.0
Nov 2016,94159,101861,36412,3724,236155,196020,40136,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles, CA",175819.0,2020.0
Nov 2017,87695,110673,40057,2145,240570,198368,42202,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles-Riverside-Orange County, CA-AZ",105908.0,2020.0
Nov 2018,77789,112218,47841,2042,239890,190007,49883,Virginia,,,,,,,,,,,,,,,2.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",45365.0,2020.0
Nov 2019,77241,103410,44992,1339,226982,180651,46331,Virginia,,,,,,,,,,,,,,,2.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4013.0,2020.0
Nov 2020,89032,125214,64844,778,279868,214246,65622,Virginia,,,,,,,,,,,,,,,2.0,"Portland-Salem, OR-WA",11549.0,2020.0
Nov 2021,84002,141617,60746,4395,290759,225619,65141,Virginia,,,,,,,,,,,,,,,2.0,San Antonio (Part of Long Beach/LA),470553.0,2020.0
Dec 2009,71105,57292,8278,11524,148199,128397,19802,Virginia,,,,,,,,,,,,,,,2.0,"San Francisco-Oakland-San Jose, CA",13117.0,2020.0
Dec 2010,62931,54818,12707,7996,138452,117749,20703,Virginia,,,,,,,,,,,,,,,2.0,"Savannah, GA-SC",2956.0,2020.0
Dec 2011,74381,58074,13515,8330,154300,132455,21845,Virginia,,,,,,,,,,,,,,,2.0,"Washington-Baltimore, DC-MD-VA-WV-PA",24217.0,2020.0
Dec 2012,87596,69719,14519,13917,185750,157315,28436,Virginia,,,,,,,,,,,,,,,3.0,"Charleston-North Charleston, SC",1043.0,2020.0
Dec 2013,83465,75985,16257,5384,181091,159450,21641,Virginia,,,,,,,,,,,,,,,3.0,Everglades (Part of Fort Lauderdale/Miami),50627.0,2020.0
Dec 2014,90759,86305,18522,7690,203276,177064,26212,Virginia,,,,,,,,,,,,,,,3.0,"Los Angeles, CA",248764.0,2020.0
Dec 2015,79134,83026,31126,3754,197039,162160,34880,Virginia,,,,,,,,,,,,,,,3.0,"Los Angeles-Riverside-Orange County, CA-AZ",100361.0,2020.0
Dec 2016,86917,97712,39194,5801,229624,184629,44995,Virginia,,,,,,,,,,,,,,,3.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",55744.0,2020.0
Dec 2017,90241,105867,39364,2053,237525,196108,41417,Virginia,,,,,,,,,,,,,,,3.0,"Norfolk-Virginia Beach-Newport News, VA-NC",4468.0,2020.0
Dec 2018,75418,111566,52046,2091,241121,186984,54137,Virginia,,,,,,,,,,,,,,,3.0,"Portland-Salem, OR-WA",14922.0,2020.0
Dec 2019,78285,103711,41854,1052,224902,181996,42906,Virginia,,,,,,,,,,,,,,,3.0,San Antonio (Part of Long Beach/LA),553107.0,2020.0
Dec 2020,82670,123218,53175,1338,260401,205888,54513,Virginia,,,,,,,,,,,,,,,3.0,"San Francisco-Oakland-San Jose, CA",15276.0,2020.0
Dec 2021,88667,157590,74265,5005,325527,246257,79270,Virginia,,,,,,,,,,,,,,,3.0,"Savannah, GA-SC",3078.0,2020.0
Jan 2019,124373,209583,93907,2216,430079,333956,96123,Savannah,,,,,,,,,,,,,,,3.0,"Washington-Baltimore, DC-MD-VA-WV-PA",15099.0,2020.0
Feb 2019,105260,149685,52633,4465,312043,254945,57098,Savannah,,,,,,,,,,,,,,,4.0,"Charleston-North Charleston, SC",1110.0,2020.0
Mar 2019,155083,186369,59089,9785,410326,341452,68874,Savannah,,,,,,,,,,,,,,,4.0,Everglades (Part of Fort Lauderdale/Miami),40212.0,2020.0
Apr 2019,129726,175661,51707,7386,364480,305387,59093,Savannah,,,,,,,,,,,,,,,4.0,"Los Angeles, CA",188669.0,2020.0
May 2019,126895,185265,58461,2773,373394,312160,61234,Savannah,,,,,,,,,,,,,,,4.0,"Los Angeles-Riverside-Orange County, CA-AZ",120547.0,2020.0
